,Year,Energy Source,Cost
61,2013,Geothermal levelized cost of energy,0.06411118
62,2013,Offshore wind levelized cost of energy,0.16666164
63,2013,Solar photovoltaic levelized cost of energy,0.1794014
64,2013,Concentrated solar power levelized cost of energy,0.24888833
65,2013,Hydropower levelized cost of energy,0.042512473
66,2013,Onshore wind levelized cost of energy,0.08920628
67,2014,Bioenergy levelized cost of energy,0.08237512
68,2014,Geothermal levelized cost of energy,0.06533503
69,2014,Offshore wind levelized cost of energy,0.17219925
70,2014,Solar photovoltaic levelized cost of energy,0.16125813
71,2014,Concentrated solar power levelized cost of energy,0.21637706
72,2014,Hydropower levelized cost of energy,0.042456634
73,2014,Onshore wind levelized cost of energy,0.080203146
74,2015,Bioenergy levelized cost of energy,0.07277113
75,2015,Geothermal levelized cost of energy,0.05884901
76,2015,Offshore wind levelized cost of energy,0.14052741
77,2015,Solar photovoltaic levelized cost of energy,0.12107989
78,2015,Concentrated solar power levelized cost of energy,0.223889
79,2015,Hydropower levelized cost of energy,0.036572017
80,2015,Onshore wind levelized cost of energy,0.068961546
81,2016,Bioenergy levelized cost of energy,0.071178205
82,2016,Geothermal levelized cost of energy,0.06780182
83,2016,Offshore wind levelized cost of energy,0.11632308
84,2016,Solar photovoltaic levelized cost of energy,0.106340416
85,2016,Concentrated solar power levelized cost of energy,0.24726917
86,2016,Hydropower levelized cost of energy,0.04838911
87,2016,Onshore wind levelized cost of energy,0.06385536
88,2017,Bioenergy levelized cost of energy,0.07107003
89,2017,Geothermal levelized cost of energy,0.07091718
90,2017,Offshore wind levelized cost of energy,0.10615218
91,2017,Solar photovoltaic levelized cost of energy,0.083659746
92,2017,Concentrated solar power levelized cost of energy,0.20621318
93,2017,Hydropower levelized cost of energy,0.05072171
94,2017,Onshore wind levelized cost of energy,0.05995916
95,2018,Bioenergy levelized cost of energy,0.055360332
96,2018,Geothermal levelized cost of energy,0.06758344
97,2018,Offshore wind levelized cost of energy,0.10004871
98,2018,Solar photovoltaic levelized cost of energy,0.07113868
99,2018,Concentrated solar power levelized cost of energy,0.14910279
100,2018,Hydropower levelized cost of energy,0.039836742
101,2018,Onshore wind levelized cost of energy,0.05087996
102,2019,Bioenergy levelized cost of energy,0.06393309
103,2019,Geothermal levelized cost of energy,0.067305215
104,2019,Offshore wind levelized cost of energy,0.08638764
105,2019,Solar photovoltaic levelized cost of energy,0.062119152
106,2019,Concentrated solar power levelized cost of energy,0.21183106
107,2019,Hydropower levelized cost of energy,0.041408572
108,2019,Onshore wind levelized cost of energy,0.044592004
109,2020,Bioenergy levelized cost of energy,0.07247308
110,2020,Geothermal levelized cost of energy,0.054264043
111,2020,Offshore wind levelized cost of energy,0.08626575
112,2020,Solar photovoltaic levelized cost of energy,0.055443965
113,2020,Concentrated solar power levelized cost of energy,0.10665299
114,2020,Hydropower levelized cost of energy,0.045965873
115,2020,Onshore wind levelized cost of energy,0.03713682
116,2021,Bioenergy levelized cost of energy,0.067342535
117,2021,Geothermal levelized cost of energy,0.06761599
118,2021,Offshore wind levelized cost of energy,0.07516697
119,2021,Solar photovoltaic levelized cost of energy,0.04834554
120,2021,Concentrated solar power levelized cost of energy,0.11424175
121,2021,Hydropower levelized cost of energy,0.04829987
122,2021,Onshore wind levelized cost of energy,0.033123367
