,Unnamed: 0,date,Poverty Gap,Region,GDP per capita,Primary Completion Rate
39,61,2010,2.6,Latin America & Caribbean,N/A,N/A
40,62,2009,2.8,Latin America & Caribbean,N/A,N/A
41,63,2008,3.0,Latin America & Caribbean,N/A,N/A
42,64,2007,3.3,Latin America & Caribbean,N/A,N/A
43,65,2006,3.4,Latin America & Caribbean,N/A,N/A
44,66,2005,4.2,Latin America & Caribbean,N/A,N/A
45,67,2004,4.3,Latin America & Caribbean,N/A,N/A
46,68,2003,4.9,Latin America & Caribbean,N/A,N/A
47,69,2002,5.0,Latin America & Caribbean,N/A,N/A
48,70,2001,5.6,Latin America & Caribbean,N/A,N/A
49,71,2000,5.9,Latin America & Caribbean,N/A,N/A
50,72,1999,6.4,Latin America & Caribbean,N/A,N/A
51,73,1998,6.4,Latin America & Caribbean,N/A,N/A
52,74,1997,6.8,Latin America & Caribbean,N/A,N/A
53,75,1996,7.2,Latin America & Caribbean,N/A,N/A
54,76,1995,6.2,Latin America & Caribbean,N/A,N/A
55,77,1994,6.3,Latin America & Caribbean,N/A,N/A
56,78,1993,6.8,Latin America & Caribbean,N/A,N/A
57,79,1992,6.9,Latin America & Caribbean,N/A,N/A
58,80,1991,6.8,Latin America & Caribbean,N/A,N/A
59,81,1990,7.2,Latin America & Caribbean,N/A,N/A
60,82,1989,6.8,Latin America & Caribbean,N/A,N/A
61,83,1988,7.0,Latin America & Caribbean,N/A,N/A
62,84,1987,6.2,Latin America & Caribbean,N/A,N/A
63,85,1986,5.0,Latin America & Caribbean,N/A,N/A
64,86,1985,6.9,Latin America & Caribbean,N/A,N/A
65,87,1984,7.4,Latin America & Caribbean,N/A,N/A
66,88,1983,7.6,Latin America & Caribbean,N/A,N/A
67,89,1982,6.4,Latin America & Caribbean,N/A,N/A
68,90,1981,6.1,Latin America & Caribbean,N/A,N/A
69,102,2019,1.5,South Asia,N/A,N/A
70,103,2018,1.9,South Asia,N/A,N/A
71,104,2017,2.4,South Asia,N/A,N/A
72,105,2016,3.1,South Asia,N/A,N/A
73,106,2015,3.3,South Asia,N/A,N/A
74,107,2014,3.5,South Asia,N/A,N/A
75,108,2013,3.7,South Asia,N/A,N/A
76,109,2012,3.9,South Asia,N/A,N/A
77,110,2011,4.4,South Asia,N/A,N/A
78,111,2010,5.7,South Asia,N/A,N/A
79,112,2009,6.5,South Asia,N/A,N/A
80,113,2008,6.9,South Asia,N/A,N/A
81,114,2007,7.3,South Asia,N/A,N/A
82,115,2006,7.8,South Asia,N/A,N/A
83,116,2005,8.3,South Asia,N/A,N/A
84,117,2004,8.9,South Asia,N/A,N/A
85,118,2003,9.4,South Asia,N/A,N/A
86,119,2002,9.8,South Asia,N/A,N/A
87,125,1996,10.8,South Asia,N/A,N/A
88,126,1995,11.3,South Asia,N/A,N/A
89,127,1994,12.0,South Asia,N/A,N/A
90,128,1993,12.4,South Asia,N/A,N/A
91,129,1992,12.9,South Asia,N/A,N/A
92,130,1991,13.8,South Asia,N/A,N/A
93,131,1990,14.3,South Asia,N/A,N/A
94,132,1989,14.4,South Asia,N/A,N/A
95,133,1988,14.7,South Asia,N/A,N/A
96,134,1987,15.4,South Asia,N/A,N/A
97,135,1986,15.9,South Asia,N/A,N/A
98,136,1985,16.4,South Asia,N/A,N/A
99,137,1984,17.2,South Asia,N/A,N/A
100,138,1983,18.1,South Asia,N/A,N/A
101,139,1982,19.0,South Asia,N/A,N/A
102,140,1981,19.4,South Asia,N/A,N/A
103,153,2018,2.3,Middle East & North Africa,N/A,N/A
104,154,2017,1.8,Middle East & North Africa,N/A,N/A
105,155,2016,1.6,Middle East & North Africa,N/A,N/A
106,156,2015,1.3,Middle East & North Africa,N/A,N/A
107,157,2014,0.6,Middle East & North Africa,N/A,N/A
108,158,2013,0.5,Middle East & North Africa,N/A,N/A
109,159,2012,0.5,Middle East & North Africa,N/A,N/A
110,160,2011,0.5,Middle East & North Africa,N/A,N/A
111,161,2010,0.4,Middle East & North Africa,N/A,N/A
112,162,2009,0.4,Middle East & North Africa,N/A,N/A
113,163,2008,0.5,Middle East & North Africa,N/A,N/A
114,164,2007,0.5,Middle East & North Africa,N/A,N/A
115,165,2006,0.5,Middle East & North Africa,N/A,N/A
116,166,2005,0.5,Middle East & North Africa,N/A,N/A
117,167,2004,0.5,Middle East & North Africa,N/A,N/A
118,168,2003,0.6,Middle East & North Africa,N/A,N/A
119,170,2001,0.7,Middle East & North Africa,N/A,N/A
120,171,2000,0.7,Middle East & North Africa,N/A,N/A
121,172,1999,0.8,Middle East & North Africa,N/A,N/A
122,173,1998,0.8,Middle East & North Africa,N/A,N/A
123,174,1997,0.9,Middle East & North Africa,N/A,N/A
124,175,1996,0.9,Middle East & North Africa,N/A,N/A
125,176,1995,1.0,Middle East & North Africa,N/A,N/A
126,177,1994,0.9,Middle East & North Africa,N/A,N/A
127,178,1993,1.0,Middle East & North Africa,N/A,N/A
128,179,1992,1.0,Middle East & North Africa,N/A,N/A
129,180,1991,1.3,Middle East & North Africa,N/A,N/A
130,181,1990,1.2,Middle East & North Africa,N/A,N/A
131,182,1989,1.5,Middle East & North Africa,N/A,N/A
132,183,1988,1.6,Middle East & North Africa,N/A,N/A
133,184,1987,1.6,Middle East & North Africa,N/A,N/A
134,185,1986,1.4,Middle East & North Africa,N/A,N/A
135,186,1985,1.4,Middle East & North Africa,N/A,N/A
136,202,2019,0.7,Europe & Central Asia,N/A,N/A
137,203,2018,0.7,Europe & Central Asia,N/A,N/A
138,204,2017,0.8,Europe & Central Asia,N/A,N/A
139,205,2016,0.9,Europe & Central Asia,N/A,N/A
140,206,2015,0.9,Europe & Central Asia,N/A,N/A
141,207,2014,1.1,Europe & Central Asia,N/A,N/A
142,208,2013,1.0,Europe & Central Asia,N/A,N/A
143,209,2012,1.2,Europe & Central Asia,N/A,N/A
144,210,2011,1.3,Europe & Central Asia,N/A,N/A
145,211,2010,1.4,Europe & Central Asia,N/A,N/A
146,212,2009,1.4,Europe & Central Asia,N/A,N/A
147,213,2008,1.6,Europe & Central Asia,N/A,N/A
148,214,2007,1.8,Europe & Central Asia,N/A,N/A
149,215,2006,2.1,Europe & Central Asia,N/A,N/A
150,216,2005,2.3,Europe & Central Asia,N/A,N/A
151,217,2004,2.4,Europe & Central Asia,N/A,N/A
152,218,2003,2.8,Europe & Central Asia,N/A,N/A
153,219,2002,2.6,Europe & Central Asia,N/A,N/A
154,220,2001,3.0,Europe & Central Asia,N/A,N/A
155,221,2000,3.3,Europe & Central Asia,N/A,N/A
156,222,1999,3.4,Europe & Central Asia,N/A,N/A
157,223,1998,2.8,Europe & Central Asia,N/A,N/A
158,224,1997,2.9,Europe & Central Asia,N/A,N/A
159,225,1996,2.9,Europe & Central Asia,N/A,N/A
160,226,1995,2.8,Europe & Central Asia,N/A,N/A
161,227,1994,2.7,Europe & Central Asia,N/A,N/A
162,228,1993,2.1,Europe & Central Asia,N/A,N/A
163,229,1992,1.8,Europe & Central Asia,N/A,N/A
164,230,1991,1.3,Europe & Central Asia,N/A,N/A
165,231,1990,1.2,Europe & Central Asia,N/A,N/A
166,252,2019,0.2,East Asia & Pacific,N/A,N/A
167,253,2018,0.3,East Asia & Pacific,N/A,N/A
168,254,2017,0.4,East Asia & Pacific,N/A,N/A
169,255,2016,0.4,East Asia & Pacific,N/A,N/A
170,256,2015,0.5,East Asia & Pacific,N/A,N/A
171,257,2014,0.7,East Asia & Pacific,N/A,N/A
172,258,2013,0.8,East Asia & Pacific,N/A,N/A
173,259,2012,1.9,East Asia & Pacific,N/A,N/A
174,260,2011,2.4,East Asia & Pacific,N/A,N/A
175,261,2010,3.3,East Asia & Pacific,N/A,N/A
176,262,2009,4.0,East Asia & Pacific,N/A,N/A
177,263,2008,4.7,East Asia & Pacific,N/A,N/A
178,264,2007,5.0,East Asia & Pacific,N/A,N/A
179,265,2006,5.8,East Asia & Pacific,N/A,N/A
180,266,2005,5.9,East Asia & Pacific,N/A,N/A
181,267,2004,7.7,East Asia & Pacific,N/A,N/A
182,268,2003,9.2,East Asia & Pacific,N/A,N/A
183,269,2002,10.7,East Asia & Pacific,N/A,N/A
184,270,2001,12.1,East Asia & Pacific,N/A,N/A
185,271,2000,13.0,East Asia & Pacific,N/A,N/A
186,272,1999,14.4,East Asia & Pacific,N/A,N/A
187,273,1998,16.1,East Asia & Pacific,N/A,N/A
188,274,1997,15.3,East Asia & Pacific,N/A,N/A
189,275,1996,15.1,East Asia & Pacific,N/A,N/A
190,276,1995,17.1,East Asia & Pacific,N/A,N/A
191,277,1994,19.3,East Asia & Pacific,N/A,N/A
192,278,1993,22.1,East Asia & Pacific,N/A,N/A
193,279,1992,23.5,East Asia & Pacific,N/A,N/A
194,280,1991,24.7,East Asia & Pacific,N/A,N/A
195,281,1990,25.6,East Asia & Pacific,N/A,N/A
196,282,1989,27.2,East Asia & Pacific,N/A,N/A
197,283,1988,21.7,East Asia & Pacific,N/A,N/A
198,284,1987,24.7,East Asia & Pacific,N/A,N/A
199,285,1986,26.7,East Asia & Pacific,N/A,N/A
200,286,1985,28.2,East Asia & Pacific,N/A,N/A
201,287,1984,30.7,East Asia & Pacific,N/A,N/A
202,288,1983,35.4,East Asia & Pacific,N/A,N/A
203,289,1982,38.9,East Asia & Pacific,N/A,N/A
204,290,1981,41.6,East Asia & Pacific,N/A,N/A
0,0,2021,N/A,Sub-Saharan Africa,3763.64885709986,N/A
1,1,2020,N/A,Sub-Saharan Africa,3704.25844825669,N/A
2,2,2019,N/A,Sub-Saharan Africa,3874.45218602127,N/A
3,3,2018,N/A,Sub-Saharan Africa,3871.0048312957,N/A
4,4,2017,N/A,Sub-Saharan Africa,3862.64211409061,N/A
5,5,2016,N/A,Sub-Saharan Africa,3862.739974955,N/A
6,6,2015,N/A,Sub-Saharan Africa,3903.56834814614,N/A
7,7,2014,N/A,Sub-Saharan Africa,3892.82611001177,N/A
8,8,2013,N/A,Sub-Saharan Africa,3812.93027351566,N/A
9,9,2012,N/A,Sub-Saharan Africa,3731.56609152913,N/A
10,10,2011,N/A,Sub-Saharan Africa,3701.0531380285,N/A
11,11,2010,N/A,Sub-Saharan Africa,3642.89286180875,N/A
12,12,2009,N/A,Sub-Saharan Africa,3535.55377135762,N/A
13,13,2008,N/A,Sub-Saharan Africa,3529.43035546459,N/A
14,14,2007,N/A,Sub-Saharan Africa,3444.55792017169,N/A
15,15,2006,N/A,Sub-Saharan Africa,3330.75781386005,N/A
16,16,2005,N/A,Sub-Saharan Africa,3222.54821228851,N/A
17,17,2004,N/A,Sub-Saharan Africa,3119.01804907621,N/A
18,18,2003,N/A,Sub-Saharan Africa,3004.33865049196,N/A
19,19,2002,N/A,Sub-Saharan Africa,2960.69445714969,N/A
20,20,2001,N/A,Sub-Saharan Africa,2865.75690217982,N/A
21,21,2000,N/A,Sub-Saharan Africa,2820.81779060784,N/A
22,22,1999,N/A,Sub-Saharan Africa,2797.85071981085,N/A
23,23,1998,N/A,Sub-Saharan Africa,2806.72238380745,N/A
24,24,1997,N/A,Sub-Saharan Africa,2810.48351648523,N/A
25,25,1996,N/A,Sub-Saharan Africa,2766.15927348246,N/A
26,26,1995,N/A,Sub-Saharan Africa,2700.94178848245,N/A
27,27,1994,N/A,Sub-Saharan Africa,2678.37345194255,N/A
28,28,1993,N/A,Sub-Saharan Africa,2722.88904916993,N/A
29,29,1992,N/A,Sub-Saharan Africa,2817.33767131935,N/A
30,30,1991,N/A,Sub-Saharan Africa,2902.5286714809,N/A
31,31,1990,N/A,Sub-Saharan Africa,2969.31394142815,N/A
32,50,2021,N/A,Latin America & Caribbean,15701.1522114414,N/A
33,51,2020,N/A,Latin America & Caribbean,14823.4725124543,N/A
34,52,2019,N/A,Latin America & Caribbean,16033.2228299553,N/A
35,53,2018,N/A,Latin America & Caribbean,16057.3522013036,N/A
36,54,2017,N/A,Latin America & Caribbean,15928.7925437284,N/A
37,55,2016,N/A,Latin America & Caribbean,15771.6434131343,N/A
38,56,2015,N/A,Latin America & Caribbean,15916.4664246846,N/A
39,57,2014,N/A,Latin America & Caribbean,15964.7758045247,N/A
40,58,2013,N/A,Latin America & Caribbean,15885.0445909226,N/A
41,59,2012,N/A,Latin America & Caribbean,15600.295247375,N/A
42,60,2011,N/A,Latin America & Caribbean,15360.2275822561,N/A
43,61,2010,N/A,Latin America & Caribbean,14852.6339432539,N/A
44,62,2009,N/A,Latin America & Caribbean,14105.8103460968,N/A
45,63,2008,N/A,Latin America & Caribbean,14568.4914653584,N/A
46,64,2007,N/A,Latin America & Caribbean,14212.1619340705,N/A
47,65,2006,N/A,Latin America & Caribbean,13665.7621797061,N/A
48,66,2005,N/A,Latin America & Caribbean,13168.1909737479,N/A
49,67,2004,N/A,Latin America & Caribbean,12827.159961808,N/A
50,68,2003,N/A,Latin America & Caribbean,12318.5628240782,N/A
51,69,2002,N/A,Latin America & Caribbean,12170.9773184639,N/A
52,70,2001,N/A,Latin America & Caribbean,12267.7279569953,N/A
53,71,2000,N/A,Latin America & Caribbean,12391.2098793923,N/A
54,72,1999,N/A,Latin America & Caribbean,12140.8358396651,N/A
55,73,1998,N/A,Latin America & Caribbean,12257.7962900368,N/A
56,74,1997,N/A,Latin America & Caribbean,12118.0890699592,N/A
57,75,1996,N/A,Latin America & Caribbean,11687.2187345156,N/A
58,76,1995,N/A,Latin America & Caribbean,11413.0073289089,N/A
59,77,1994,N/A,Latin America & Caribbean,11528.0780300654,N/A
60,78,1993,N/A,Latin America & Caribbean,11124.0809469582,N/A
61,79,1992,N/A,Latin America & Caribbean,10842.1206747993,N/A
62,80,1991,N/A,Latin America & Caribbean,10727.7492047931,N/A
63,81,1990,N/A,Latin America & Caribbean,10571.3269062632,N/A
64,100,2021,N/A,South Asia,6394.55038829376,N/A
65,101,2020,N/A,South Asia,5970.76627172341,N/A
66,102,2019,N/A,South Asia,6369.64811530602,N/A
67,103,2018,N/A,South Asia,6201.3430914839,N/A
68,104,2017,N/A,South Asia,5899.62931507242,N/A
69,105,2016,N/A,South Asia,5610.41594779384,N/A
70,106,2015,N/A,South Asia,5276.01691812379,N/A
71,107,2014,N/A,South Asia,4976.38264946804,N/A
72,108,2013,N/A,South Asia,4715.46259710215,N/A
73,109,2012,N/A,South Asia,4506.19910158364,N/A
74,110,2011,N/A,South Asia,4329.76930447026,N/A
75,111,2010,N/A,South Asia,4177.82062300787,N/A
76,112,2009,N/A,South Asia,3944.56054550336,N/A
77,113,2008,N/A,South Asia,3743.60199277827,N/A
78,114,2007,N/A,South Asia,3681.30949535696,N/A
79,115,2006,N/A,South Asia,3487.67071450968,N/A
80,116,2005,N/A,South Asia,3294.21185399416,N/A
81,117,2004,N/A,South Asia,3115.06537365529,N/A
82,118,2003,N/A,South Asia,2947.72206888681,N/A
83,119,2002,N/A,South Asia,2797.76209722865,N/A
84,120,2001,N/A,South Asia,2750.04761266035,N/A
85,121,2000,N/A,South Asia,2681.43348390186,N/A
86,122,1999,N/A,South Asia,2624.45729988665,N/A
87,123,1998,N/A,South Asia,2487.25394603607,N/A
88,124,1997,N/A,South Asia,2404.65600809903,N/A
89,125,1996,N/A,South Asia,2365.26527390497,N/A
90,126,1995,N/A,South Asia,2261.54183272006,N/A
91,127,1994,N/A,South Asia,2161.29646301824,N/A
92,128,1993,N/A,South Asia,2083.75812176389,N/A
93,129,1992,N/A,South Asia,2041.23948092164,N/A
94,130,1991,N/A,South Asia,1971.9627029389,N/A
95,131,1990,N/A,South Asia,1974.74629853809,N/A
96,150,2021,N/A,Middle East & North Africa,16145.693570352,N/A
97,151,2020,N/A,Middle East & North Africa,15757.9566826269,N/A
98,152,2019,N/A,Middle East & North Africa,16601.5524268098,N/A
99,153,2018,N/A,Middle East & North Africa,16660.8870073356,N/A
100,154,2017,N/A,Middle East & North Africa,16627.5350944677,N/A
101,155,2016,N/A,Middle East & North Africa,16596.1810794907,N/A
102,156,2015,N/A,Middle East & North Africa,16193.6476448356,N/A
103,157,2014,N/A,Middle East & North Africa,16035.5773744745,N/A
104,158,2013,N/A,Middle East & North Africa,15887.4894074822,N/A
105,159,2012,N/A,Middle East & North Africa,15884.7720695649,N/A
106,160,2011,N/A,Middle East & North Africa,15513.7051475186,N/A
107,161,2010,N/A,Middle East & North Africa,15312.7593700287,N/A
108,162,2009,N/A,Middle East & North Africa,14907.1614623064,N/A
109,163,2008,N/A,Middle East & North Africa,15122.6989049387,N/A
110,164,2007,N/A,Middle East & North Africa,14788.8943804177,N/A
111,165,2006,N/A,Middle East & North Africa,14349.1683649476,N/A
112,166,2005,N/A,Middle East & North Africa,13878.5640683784,N/A
113,167,2004,N/A,Middle East & North Africa,13493.8960384048,N/A
114,168,2003,N/A,Middle East & North Africa,12786.2861744552,N/A
115,169,2002,N/A,Middle East & North Africa,12359.5003925943,N/A
116,170,2001,N/A,Middle East & North Africa,12376.4619253807,N/A
117,171,2000,N/A,Middle East & North Africa,12411.6971752498,N/A
118,172,1999,N/A,Middle East & North Africa,11879.5935962076,N/A
119,173,1998,N/A,Middle East & North Africa,11869.6108473323,N/A
120,174,1997,N/A,Middle East & North Africa,11572.9877261803,N/A
121,175,1996,N/A,Middle East & North Africa,11423.1328680121,N/A
122,176,1995,N/A,Middle East & North Africa,11105.1469433281,N/A
123,177,1994,N/A,Middle East & North Africa,11130.4967697636,N/A
124,178,1993,N/A,Middle East & North Africa,11169.7745140326,N/A
125,179,1992,N/A,Middle East & North Africa,11258.7251005816,N/A
126,180,1991,N/A,Middle East & North Africa,10972.8928275866,N/A
127,181,1990,N/A,Middle East & North Africa,10760.2489784386,N/A
128,200,2021,N/A,Europe & Central Asia,35454.0496135727,N/A
129,201,2020,N/A,Europe & Central Asia,33513.647948571,N/A
130,202,2019,N/A,Europe & Central Asia,35354.4536309176,N/A
131,203,2018,N/A,Europe & Central Asia,34765.3275176456,N/A
132,204,2017,N/A,Europe & Central Asia,34073.9375392321,N/A
133,205,2016,N/A,Europe & Central Asia,33204.2404616834,N/A
134,206,2015,N/A,Europe & Central Asia,32724.4111062009,N/A
135,207,2014,N/A,Europe & Central Asia,32291.4983563006,N/A
136,208,2013,N/A,Europe & Central Asia,31894.0457342263,N/A
137,209,2012,N/A,Europe & Central Asia,31668.0301545907,N/A
138,210,2011,N/A,Europe & Central Asia,31577.255704363,N/A
139,211,2010,N/A,Europe & Central Asia,30791.9055378237,N/A
140,212,2009,N/A,Europe & Central Asia,30039.1447819516,N/A
141,213,2008,N/A,Europe & Central Asia,31648.2470750619,N/A
142,214,2007,N/A,Europe & Central Asia,31286.2874675752,N/A
143,215,2006,N/A,Europe & Central Asia,30112.1663258636,N/A
144,216,2005,N/A,Europe & Central Asia,28895.3180322129,N/A
145,217,2004,N/A,Europe & Central Asia,28083.5683158291,N/A
146,218,2003,N/A,Europe & Central Asia,27113.8790290844,N/A
147,219,2002,N/A,Europe & Central Asia,26539.4110224525,N/A
148,220,2001,N/A,Europe & Central Asia,26040.1120985492,N/A
149,221,2000,N/A,Europe & Central Asia,25462.5941522669,N/A
150,222,1999,N/A,Europe & Central Asia,24352.2645473934,N/A
151,223,1998,N/A,Europe & Central Asia,23715.1439624569,N/A
152,224,1997,N/A,Europe & Central Asia,23260.1221255962,N/A
153,225,1996,N/A,Europe & Central Asia,22640.3145704174,N/A
154,226,1995,N/A,Europe & Central Asia,22345.871468582,N/A
155,227,1994,N/A,Europe & Central Asia,22028.1210470077,N/A
156,228,1993,N/A,Europe & Central Asia,22219.0480594508,N/A
157,229,1992,N/A,Europe & Central Asia,22693.0789131288,N/A
158,230,1991,N/A,Europe & Central Asia,23305.7087132125,N/A
159,231,1990,N/A,Europe & Central Asia,23577.4325133924,N/A
160,250,2021,N/A,East Asia & Pacific,18580.9256357074,N/A
161,251,2020,N/A,East Asia & Pacific,17613.7711823444,N/A
162,252,2019,N/A,East Asia & Pacific,17721.2154919556,N/A
163,253,2018,N/A,East Asia & Pacific,17075.7046328439,N/A
164,254,2017,N/A,East Asia & Pacific,16351.1077219765,N/A
165,255,2016,N/A,East Asia & Pacific,15630.3698895683,N/A
166,256,2015,N/A,East Asia & Pacific,14991.9454957123,N/A
167,257,2014,N/A,East Asia & Pacific,14382.3734334673,N/A
168,258,2013,N/A,East Asia & Pacific,13786.7643417578,N/A
169,259,2012,N/A,East Asia & Pacific,13166.7811660536,N/A
170,260,2011,N/A,East Asia & Pacific,12570.8812806984,N/A
171,261,2010,N/A,East Asia & Pacific,11953.1429566591,N/A
172,262,2009,N/A,East Asia & Pacific,11139.087218392,N/A
173,263,2008,N/A,East Asia & Pacific,10862.8145237259,N/A
174,264,2007,N/A,East Asia & Pacific,10425.6373199316,N/A
175,265,2006,N/A,East Asia & Pacific,9714.50941439038,N/A
176,266,2005,N/A,East Asia & Pacific,9142.5986091469,N/A
177,267,2004,N/A,East Asia & Pacific,8655.65018030729,N/A
178,268,2003,N/A,East Asia & Pacific,8200.74450510334,N/A
179,269,2002,N/A,East Asia & Pacific,7836.13421376975,N/A
180,270,2001,N/A,East Asia & Pacific,7531.70259730859,N/A
181,271,2000,N/A,East Asia & Pacific,7330.53747937354,N/A
182,272,1999,N/A,East Asia & Pacific,6997.52608700053,N/A
183,273,1998,N/A,East Asia & Pacific,6792.30630244226,N/A
184,274,1997,N/A,East Asia & Pacific,6880.30759028683,N/A
185,275,1996,N/A,East Asia & Pacific,6664.1286733027,N/A
186,276,1995,N/A,East Asia & Pacific,6349.36215112069,N/A
187,277,1994,N/A,East Asia & Pacific,6040.9282659118,N/A
188,278,1993,N/A,East Asia & Pacific,5767.27230510283,N/A
189,279,1992,N/A,East Asia & Pacific,5555.39494655743,N/A
190,280,1991,N/A,East Asia & Pacific,5352.90983269797,N/A
191,281,1990,N/A,East Asia & Pacific,5149.26874135107,N/A
192,300,2021,N/A,North America,61504.8885723718,N/A
193,301,2020,N/A,North America,58348.9952034209,N/A
194,302,2019,N/A,North America,61097.0189925674,N/A
195,303,2018,N/A,North America,60082.9007142365,N/A
196,304,2017,N/A,North America,58746.9576152313,N/A
197,305,2016,N/A,North America,57811.7517056487,N/A
198,306,2015,N/A,North America,57331.8941695944,N/A
199,307,2014,N/A,North America,56329.3642164554,N/A
200,308,2013,N/A,North America,55464.1939579226,N/A
201,309,2012,N/A,North America,54837.9366856616,N/A
202,310,2011,N/A,North America,54053.0275659676,N/A
203,311,2010,N/A,North America,53560.5554440883,N/A
204,312,2009,N/A,North America,52581.6601007505,N/A
205,313,2008,N/A,North America,54490.584644094,N/A
206,314,2007,N/A,North America,54909.1229753077,N/A
207,315,2006,N/A,North America,54138.9049919664,N/A
208,316,2005,N/A,North America,53129.7156452643,N/A
209,317,2004,N/A,North America,51760.122091716,N/A
210,318,2003,N/A,North America,50301.7295026023,N/A
211,319,2002,N/A,North America,49320.7055310762,N/A
212,320,2001,N/A,North America,48896.2978561631,N/A
213,321,2000,N/A,North America,48903.1480770841,N/A
214,322,1999,N/A,North America,47475.5412943215,N/A
215,323,1998,N/A,North America,45838.607877707,N/A
216,324,1997,N/A,North America,44426.5028300991,N/A
217,325,1996,N/A,North America,43041.0775491623,N/A
218,326,1995,N/A,North America,41956.9289534986,N/A
219,327,1994,N/A,North America,41342.9398310793,N/A
220,328,1993,N/A,North America,40227.3779253965,N/A
221,329,1992,N/A,North America,39660.9674567458,N/A
222,330,1991,N/A,North America,38838.9727551063,N/A
223,331,1990,N/A,North America,39400.7989874294,N/A
0,1,2020,N/A,Sub-Saharan Africa,N/A,70.3955688476563
1,2,2019,N/A,Sub-Saharan Africa,N/A,69.8094024658203
2,3,2018,N/A,Sub-Saharan Africa,N/A,69.6157379150391
3,4,2017,N/A,Sub-Saharan Africa,N/A,68.8854217529297
4,5,2016,N/A,Sub-Saharan Africa,N/A,68.5222320556641
5,6,2015,N/A,Sub-Saharan Africa,N/A,68.3284225463867
6,7,2014,N/A,Sub-Saharan Africa,N/A,68.1073837280273
7,8,2013,N/A,Sub-Saharan Africa,N/A,67.9339065551758
8,9,2012,N/A,Sub-Saharan Africa,N/A,67.9717330932617
9,10,2011,N/A,Sub-Saharan Africa,N/A,67.7666397094727
10,11,2010,N/A,Sub-Saharan Africa,N/A,67.9499130249023
11,12,2009,N/A,Sub-Saharan Africa,N/A,67.9298934936523
12,13,2008,N/A,Sub-Saharan Africa,N/A,65.0271987915039
13,14,2007,N/A,Sub-Saharan Africa,N/A,64.3262634277344
14,15,2006,N/A,Sub-Saharan Africa,N/A,64.5378875732422
15,16,2005,N/A,Sub-Saharan Africa,N/A,61.7397613525391
16,17,2004,N/A,Sub-Saharan Africa,N/A,59.5650596618652
17,18,2003,N/A,Sub-Saharan Africa,N/A,58.4016914367676
18,19,2002,N/A,Sub-Saharan Africa,N/A,57.2587890625
19,20,2001,N/A,Sub-Saharan Africa,N/A,55.9986991882324
20,21,2000,N/A,Sub-Saharan Africa,N/A,54.400089263916
21,22,1999,N/A,Sub-Saharan Africa,N/A,54.0572814941406
22,23,1998,N/A,Sub-Saharan Africa,N/A,53.7348403930664
23,24,1997,N/A,Sub-Saharan Africa,N/A,54.1199188232422
24,25,1996,N/A,Sub-Saharan Africa,N/A,54.1459617614746
25,26,1995,N/A,Sub-Saharan Africa,N/A,53.7520599365234
26,27,1994,N/A,Sub-Saharan Africa,N/A,53.804630279541
