,date,"Primary completion rate, total (% of relevant age group)",Region
78,1993,93.8950500488281,Latin America & Caribbean
79,1992,93.4434967041016,Latin America & Caribbean
80,1991,92.1796569824219,Latin America & Caribbean
81,1990,92.003288269043,Latin America & Caribbean
82,1989,92.1152496337891,Latin America & Caribbean
83,1988,92.3059387207031,Latin America & Caribbean
84,1987,92.4467468261719,Latin America & Caribbean
85,1986,92.2214584350586,Latin America & Caribbean
86,1985,91.3584213256836,Latin America & Caribbean
87,1984,91.7026519775391,Latin America & Caribbean
88,1983,90.4761276245117,Latin America & Caribbean
89,1982,89.2363204956055,Latin America & Caribbean
90,1981,88.4819030761719,Latin America & Caribbean
91,1980,87.8496322631836,Latin America & Caribbean
92,1979,87.182487487793,Latin America & Caribbean
93,1978,86.3508377075195,Latin America & Caribbean
94,1977,86.0474319458008,Latin America & Caribbean
95,1976,83.9801635742188,Latin America & Caribbean
96,1975,82.6605529785156,Latin America & Caribbean
97,1974,82.0216674804688,Latin America & Caribbean
98,1973,81.4983673095703,Latin America & Caribbean
99,1972,80.5564804077148,Latin America & Caribbean
101,2020,92.24263,South Asia
102,2019,90.21991,South Asia
103,2018,90.04793,South Asia
104,2017,91.2669,South Asia
105,2016,91.8988,South Asia
106,2015,92.4626,South Asia
107,2014,92.09109,South Asia
108,2013,90.63377,South Asia
109,2012,89.01604,South Asia
110,2011,86.95904,South Asia
111,2010,87.3896,South Asia
112,2009,87.68547,South Asia
113,2008,86.17822,South Asia
114,2007,84.34416,South Asia
115,2006,82.39266,South Asia
116,2005,80.52524,South Asia
117,2004,78.16471,South Asia
118,2003,75.87849,South Asia
119,2002,72.49696,South Asia
120,2001,69.70453,South Asia
121,2000,69.02494,South Asia
122,1999,66.69571,South Asia
123,1998,67.02729,South Asia
124,1997,67.41009,South Asia
125,1996,67.79434,South Asia
126,1995,68.19162,South Asia
127,1994,67.27931,South Asia
128,1993,66.36294,South Asia
129,1992,65.48009,South Asia
130,1991,64.51986,South Asia
131,1990,63.56343,South Asia
132,1989,62.60757,South Asia
133,1988,61.53353,South Asia
134,1987,60.24075,South Asia
135,1986,58.75013,South Asia
136,1985,57.24681,South Asia
137,1984,55.76457,South Asia
138,1983,54.2875,South Asia
139,1982,52.86151,South Asia
140,1981,51.4835,South Asia
141,1980,50.08556,South Asia
142,1979,48.74738,South Asia
143,1978,47.47231,South Asia
144,1977,45.98902,South Asia
145,1976,45.65505,South Asia
146,1975,44.86017,South Asia
147,1974,43.61631,South Asia
148,1973,43.15963,South Asia
149,1972,42.70204,South Asia
151,2020,93.386962890625,Middle East & North Africa
152,2019,92.5999603271484,Middle East & North Africa
153,2018,91.4221801757813,Middle East & North Africa
154,2017,90.9559173583984,Middle East & North Africa
155,2016,91.1064376831055,Middle East & North Africa
156,2015,91.5878295898438,Middle East & North Africa
157,2014,92.6472778320313,Middle East & North Africa
158,2013,91.539680480957,Middle East & North Africa
159,2012,93.5742568969727,Middle East & North Africa
160,2011,91.5446014404297,Middle East & North Africa
161,2010,90.5987319946289,Middle East & North Africa
162,2009,88.9137878417969,Middle East & North Africa
163,2008,90.0283508300781,Middle East & North Africa
164,2007,87.9729766845703,Middle East & North Africa
165,2006,87.043212890625,Middle East & North Africa
166,2005,90.5817184448242,Middle East & North Africa
167,2004,89.5261611938477,Middle East & North Africa
168,2003,85.9357986450195,Middle East & North Africa
169,2002,84.4618682861328,Middle East & North Africa
170,2001,83.4867401123047,Middle East & North Africa
171,2000,81.5530776977539,Middle East & North Africa
172,1999,82.3561630249023,Middle East & North Africa
173,1998,82.0326080322266,Middle East & North Africa
174,1997,81.5606079101563,Middle East & North Africa
175,1996,81.2283096313477,Middle East & North Africa
176,1995,80.7703170776367,Middle East & North Africa
177,1994,79.0382995605469,Middle East & North Africa
178,1993,78.7782974243164,Middle East & North Africa
179,1992,77.2994995117188,Middle East & North Africa
180,1991,75.8783187866211,Middle East & North Africa
181,1990,75.1158065795898,Middle East & North Africa
182,1989,73.3234634399414,Middle East & North Africa
183,1988,72.9409713745117,Middle East & North Africa
184,1987,72.4744415283203,Middle East & North Africa
185,1986,72.4836578369141,Middle East & North Africa
186,1985,73.3342895507813,Middle East & North Africa
187,1984,68.910758972168,Middle East & North Africa
188,1983,66.2561721801758,Middle East & North Africa
189,1982,64.6960601806641,Middle East & North Africa
190,1981,63.5701713562012,Middle East & North Africa
191,1980,59.9061813354492,Middle East & North Africa
192,1979,56.5351486206055,Middle East & North Africa
193,1978,60.2006416320801,Middle East & North Africa
194,1977,60.4123306274414,Middle East & North Africa
195,1976,57.933780670166,Middle East & North Africa
196,1975,55.9670715332031,Middle East & North Africa
197,1974,52.6413192749023,Middle East & North Africa
198,1973,50.7231903076172,Middle East & North Africa
199,1972,48.7890815734863,Middle East & North Africa
201,2020,98.4302825927734,Europe & Central Asia
202,2019,98.4947814941406,Europe & Central Asia
203,2018,97.6106719970703,Europe & Central Asia
204,2017,97.6972427368164,Europe & Central Asia
205,2016,97.1601104736328,Europe & Central Asia
206,2015,98.4220275878906,Europe & Central Asia
207,2014,97.6501007080078,Europe & Central Asia
208,2013,97.9743270874023,Europe & Central Asia
209,2012,97.8226623535156,Europe & Central Asia
210,2011,98.4512023925781,Europe & Central Asia
211,2010,97.8608779907227,Europe & Central Asia
212,2009,97.6199569702148,Europe & Central Asia
213,2008,97.1209182739258,Europe & Central Asia
214,2007,96.7337188720703,Europe & Central Asia
215,2006,96.921630859375,Europe & Central Asia
216,2005,98.0765075683594,Europe & Central Asia
217,2004,97.8408126831055,Europe & Central Asia
218,2003,97.5621795654297,Europe & Central Asia
219,2002,98.0746688842773,Europe & Central Asia
220,2001,97.823486328125,Europe & Central Asia
221,2000,96.1200866699219,Europe & Central Asia
222,1999,95.9384078979492,Europe & Central Asia
223,1998,95.9751663208008,Europe & Central Asia
224,1997,95.9024505615234,Europe & Central Asia
225,1996,95.7046279907227,Europe & Central Asia
226,1995,95.7503890991211,Europe & Central Asia
227,1994,96.4994964599609,Europe & Central Asia
228,1993,96.9427185058594,Europe & Central Asia
229,1992,97.159912109375,Europe & Central Asia
230,1991,96.9283218383789,Europe & Central Asia
231,1990,96.8356018066406,Europe & Central Asia
232,1989,96.6673736572266,Europe & Central Asia
233,1988,97.9564590454102,Europe & Central Asia
234,1987,96.3936920166016,Europe & Central Asia
235,1986,96.7981719970703,Europe & Central Asia
236,1985,96.5160064697266,Europe & Central Asia
237,1984,95.9039764404297,Europe & Central Asia
238,1983,95.5472030639648,Europe & Central Asia
239,1982,95.8685531616211,Europe & Central Asia
240,1981,95.9943695068359,Europe & Central Asia
241,1980,96.4035873413086,Europe & Central Asia
242,1979,96.3424987792969,Europe & Central Asia
243,1978,96.5213775634766,Europe & Central Asia
244,1977,96.473991394043,Europe & Central Asia
245,1976,96.4391937255859,Europe & Central Asia
246,1975,96.3960189819336,Europe & Central Asia
247,1974,95.7050704956055,Europe & Central Asia
248,1973,95.4568328857422,Europe & Central Asia
249,1972,95.3789825439453,Europe & Central Asia
251,2020,97.7170867919922,East Asia & Pacific
252,2019,98.3665924072266,East Asia & Pacific
253,2018,98.1277313232422,East Asia & Pacific
254,2017,96.0217666625977,East Asia & Pacific
255,2016,94.1387481689453,East Asia & Pacific
256,2015,91.7858200073242,East Asia & Pacific
257,2014,92.8511276245117,East Asia & Pacific
258,2013,95.392463684082,East Asia & Pacific
259,2012,95.8929824829102,East Asia & Pacific
260,2011,95.3548202514648,East Asia & Pacific
261,2010,96.3436508178711,East Asia & Pacific
262,2009,97.0339736938477,East Asia & Pacific
263,2008,97.3116912841797,East Asia & Pacific
264,2007,93.8815002441406,East Asia & Pacific
265,2006,92.2653579711914,East Asia & Pacific
266,2005,92.6233520507813,East Asia & Pacific
267,2004,93.001220703125,East Asia & Pacific
268,2003,93.2984008789063,East Asia & Pacific
269,2002,93.3133392333984,East Asia & Pacific
270,2001,93.8838500976563,East Asia & Pacific
271,2000,92.7499008178711,East Asia & Pacific
272,1999,91.7376403808594,East Asia & Pacific
273,1998,90.9440002441406,East Asia & Pacific
274,1997,90.1427001953125,East Asia & Pacific
275,1996,91.659912109375,East Asia & Pacific
276,1995,94.9419784545898,East Asia & Pacific
277,1994,97.6075668334961,East Asia & Pacific
278,1993,95.8746490478516,East Asia & Pacific
279,1992,94.3934478759766,East Asia & Pacific
280,1991,96.5764389038086,East Asia & Pacific
281,1990,96.2810821533203,East Asia & Pacific
282,1989,95.7406692504883,East Asia & Pacific
283,1988,95.8620071411133,East Asia & Pacific
284,1987,96.1346282958984,East Asia & Pacific
301,2020,100.258682250977,North America
302,2019,100.259582519531,North America
303,2018,99.898681640625,North America
304,2017,98.746452331543,North America
305,2016,98.8179397583008,North America
306,2015,98.8875122070313,North America
307,2014,98.9552001953125,North America
308,2013,99.0257034301758,North America
309,2012,99.0955963134766,North America
310,2011,99.1632080078125,North America
311,2010,99.2304077148438,North America
312,2009,99.2958602905273,North America
313,2008,99.3628692626953,North America
314,2007,99.4293594360352,North America
315,2006,99.4945297241211,North America
316,2005,99.5635681152344,North America
317,2004,99.6343994140625,North America
318,2003,99.7073287963867,North America
319,2002,99.7807083129883,North America
320,2001,99.8437194824219,North America
321,2000,99.9085311889648,North America
322,1999,99.7495269775391,North America
