,Region,Year,Technology,Amount (2020 USD million)
1400,Africa,2014,Multiple renewables,0.093341638
1401,Africa,2010,Solar energy,10.24943188
1402,Africa,2009,Multiple renewables,6.741286781
1403,Africa,2004,Multiple renewables,0.038258248
1404,Africa,2005,Multiple renewables,0.024975661
1405,Africa,2006,Multiple renewables,0.063729865
1406,Africa,2007,Multiple renewables,0.011805518
1407,Africa,2007,Fossil fuels n.e.s.,0.018207905
2462,Africa,2015,Multiple renewables,0.014891947
2463,Africa,2015,Multiple renewables,0.001353103
2464,Africa,2017,Multiple renewables,0.01348249
2465,Africa,2020,Multiple renewables,0.009229814
2466,Africa,2004,Fossil fuels n.e.s.,0.211815477
2467,Africa,2002,Solar energy,0.021139486
2468,Africa,2007,Multiple renewables,0.0343631
2469,Africa,2008,Multiple renewables,0.015343181
2470,Africa,2019,Multiple renewables,0.021088
2471,Africa,2016,Solar energy,0.079348316
2472,Africa,2017,Solar energy,0.018303167
2473,Africa,2019,Multiple renewables,0.008956
2474,Africa,2012,Solar energy,0.001698208
2475,Africa,2007,Solar energy,0.025398733
2476,Africa,2017,Other non-renewables,0.051478419
2477,Africa,2018,Other non-renewables,0.005665775
2478,Africa,2019,Solar energy,0.012313
2479,Africa,2013,Solar energy,0.032571258
2480,Africa,2014,Solar energy,0.016800174
2481,Africa,2019,Solar energy,0.174228
2482,Africa,2018,Solar energy,0.012669497
2483,Africa,2008,Multiple renewables,3.654285907
2484,Africa,2008,Solar energy,4.292006289
2485,Africa,2017,Multiple renewables,0.703722204
2486,Africa,2007,Solar energy,0.00644932
2487,Africa,2019,Multiple renewables,0.503889
2488,Africa,2019,Solar energy,0.503889
2489,Africa,2020,Multiple renewables,0.042463387
2490,Africa,2020,Solar energy,0.042463387
2491,Africa,2012,Multiple renewables,0.028956156
2492,Africa,2011,Multiple renewables,0.020960355
2493,Africa,2019,Solar energy,10.0
2494,Africa,2012,Multiple renewables,0.012174496
2495,Africa,2012,Multiple renewables,0.010766815
2496,Africa,2012,Fossil fuels n.e.s.,1.113745832
2497,Africa,2001,Renewable hydropower,0.730524465
2498,Africa,2020,Solar energy,55.91693304
2499,Africa,2000,Solar energy,0.00235268
2500,Africa,2008,Multiple renewables,0.031488489
2501,Africa,2011,Solar energy,0.00528402
2502,Africa,2015,Multiple renewables,0.014249954
2503,Africa,2017,Solar energy,0.174464128
2504,Africa,2019,Solar energy,22.388895
2505,Africa,2019,Multiple renewables,0.129856
2506,Africa,2015,Nuclear,0.423845887
2507,Africa,2010,Nuclear,0.152609664
2508,Africa,2009,Bioenergy,0.05289596
2509,Africa,2019,Solar energy,0.094099
2510,Africa,2017,Oil,94.75307906
2511,Africa,2017,Oil,9.348796604
2512,Africa,2017,Oil,3.275415256
2513,Africa,2008,Solar energy,0.003967447
2514,Africa,2009,Solar energy,0.00420943
2515,Africa,2015,Bioenergy,0.0607325
2516,Africa,2016,Bioenergy,0.032841159
2517,Africa,2012,Solar energy,1.417070003
2518,Africa,2016,Solar energy,9.307560983
2519,Africa,2016,Solar energy,19.86563684
2520,Africa,2018,Renewable hydropower,1.576214421
2521,Africa,2010,Bioenergy,1.336099307
2522,Africa,2018,Solar energy,0.021967641
2523,Africa,2018,Solar energy,0.025723643
2524,Africa,2020,Solar energy,0.62534223
2525,Africa,2020,Bioenergy,0.015440549
2526,Africa,2017,Solar energy,1.062124789
2527,Africa,2000,Solar energy,0.120411803
2528,Africa,2001,Solar energy,14.62568065
2529,Africa,2013,Solar energy,30.11619332
2530,Africa,2018,Multiple renewables,8.536789484
2531,Africa,2009,Solar energy,0.649427845
2532,Africa,2019,Multiple renewables,0.568678
2533,Africa,2018,Solar energy,0.009357525
2534,Africa,2020,Solar energy,0.074505713
2535,Africa,2014,Solar energy,26.30499426
2536,Africa,2020,Solar energy,5.394742581
2537,Africa,2020,Solar energy,0.639662335
2538,Africa,2020,Solar energy,0.385338756
2539,Africa,2019,Solar energy,0.760141
2540,Africa,2005,Renewable hydropower,15.75301679
2541,Africa,2017,Solar energy,10.66826351
2542,Africa,2009,Nuclear,0.055787638
2543,Africa,2013,Multiple renewables,0.328026197
2544,Africa,2018,Solar energy,0.007969138
2545,Africa,2019,Solar energy,0.005038
2546,Africa,2020,Solar energy,0.00589215
2547,Africa,2020,Solar energy,0.006436491
2548,Africa,2015,Multiple renewables,0.069617622
2549,Africa,2018,Solar energy,14.93529928
2550,Africa,2018,Solar energy,9.956866184
2551,Africa,2013,Solar energy,0.105370003
2552,Africa,2018,Solar energy,0.039195321
2553,Africa,2017,Solar energy,0.004399079
2554,Africa,2016,Solar energy,0.001258201
2555,Africa,2010,Bioenergy,0.013110415
2556,Africa,2015,Solar energy,0.016583826
2557,Africa,2013,Fossil fuels n.e.s.,1.016154985
2558,Africa,2019,Solar energy,0.08886
2559,Africa,2019,Fossil fuels n.e.s.,0.042987
2560,Africa,2017,Solar energy,0.018129966
2561,Africa,2004,Fossil fuels n.e.s.,36.38568732
2562,Africa,2007,Fossil fuels n.e.s.,17.86154191
2563,Africa,2007,Multiple renewables,2.329766336
2564,Africa,2007,Bioenergy,1.164883168
2565,Africa,2004,Fossil fuels n.e.s.,5.150537684
2566,Africa,2004,Multiple renewables,5.150537684
2567,Africa,2013,Multiple renewables,1.874435414
2568,Africa,2017,Multiple renewables,3.277601006
2569,Africa,2014,Multiple renewables,2.762912474
2570,Africa,2014,Multiple renewables,9.324829599
2571,Africa,2017,Solar energy,1.536375471
2572,Africa,2017,Renewable hydropower,1.536375471
2573,Africa,2017,Solar energy,0.768187736
2574,Africa,2017,Renewable hydropower,0.768187736
2575,Africa,2019,Multiple renewables,10.575408
2576,Africa,2017,Multiple renewables,0.26682801
2577,Africa,2004,Solar energy,0.079446407
2578,Africa,2004,Wind energy,0.032081741
2579,Africa,2005,Wind energy,0.106616983
2580,Africa,2012,Multiple renewables,0.007595532
2581,Africa,2015,Multiple renewables,0.027171388
2582,Africa,2015,Multiple renewables,0.002372672
2583,Africa,2016,Multiple renewables,0.007805577
2584,Africa,2017,Multiple renewables,0.024723757
2585,Africa,2017,Multiple renewables,0.015006291
2586,Africa,2019,Solar energy,0.188067
2587,Africa,2011,Multiple renewables,0.011357114
2588,Africa,2012,Multiple renewables,0.008926236
2589,Africa,2012,Multiple renewables,0.013822252
2590,Africa,2009,Bioenergy,0.001732898
2591,Africa,2011,Bioenergy,0.001876964
2592,Africa,2009,Multiple renewables,0.085292077
2593,Africa,2017,Renewable hydropower,16.86489499
2594,Africa,2015,Solar energy,0.003364984
2595,Africa,2012,Multiple renewables,5.777142896
2596,Africa,2012,Multiple renewables,0.3687537
2597,Africa,2006,Fossil fuels n.e.s.,0.066088554
2598,Africa,2013,Solar energy,0.006509391
2599,Africa,2008,Solar energy,0.013159582
2600,Africa,2013,Oil,7.000492394
2601,Africa,2017,Multiple renewables,0.031790928
2602,Africa,2010,Solar energy,0.022433389
2603,Africa,2014,Renewable hydropower,20.29757127
2604,Africa,2019,Solar energy,0.004534
2605,Africa,2015,Solar energy,0.640597455
2606,Africa,2018,Solar energy,10.1785158
2607,Africa,2019,Renewable hydropower,78.361133
2608,Africa,2014,Multiple renewables,0.189050419
2609,Africa,2015,Multiple renewables,0.138920039
2610,Africa,2016,Multiple renewables,0.046847575
2611,Africa,2020,Solar energy,11.18362048
2612,Africa,2015,Multiple renewables,1.682028643
2613,Africa,2017,Fossil fuels n.e.s.,10.84830331
2614,Africa,2014,Fossil fuels n.e.s.,13.12694491
2615,Africa,2014,Multiple renewables,36.39743866
2616,Africa,2019,Multiple renewables,11.272809
2617,Africa,2012,Renewable hydropower,0.02240706
2618,Africa,2019,Solar energy,0.005593
2619,Africa,2019,Multiple renewables,0.008396
2620,Africa,2010,Solar energy,5.031539571
2621,Africa,2013,Renewable hydropower,96.62995725
2622,Africa,2010,Multiple renewables,5.12889734
2623,Africa,2010,Renewable hydropower,3.167848357
2624,Africa,2014,Renewable hydropower,84.00747386
2625,Africa,2020,Solar energy,79.86233292
2626,Africa,2020,Bioenergy,17.53075601
2627,Africa,2012,Multiple renewables,0.003961627
2628,Africa,2013,Multiple renewables,0.014275842
2629,Africa,2015,Multiple renewables,0.01163022
2630,Africa,2015,Multiple renewables,0.008015995
2631,Africa,2015,Multiple renewables,0.002372672
2632,Africa,2016,Multiple renewables,0.015851233
2633,Africa,2010,Multiple renewables,19.31217431
2634,Africa,2010,Renewable hydropower,0.006747264
2635,Africa,2013,Multiple renewables,10.31079224
2636,Africa,2015,Multiple renewables,2.900193931
2637,Africa,2012,Multiple renewables,16.56666168
2638,Africa,2010,Multiple renewables,46.73601734
2639,Africa,2011,Multiple renewables,14.29477393
2640,Africa,2012,Multiple renewables,0.001528281
2641,Africa,2014,Multiple renewables,0.051047895
2642,Africa,2016,Multiple renewables,0.133790504
2643,Africa,2013,Multiple renewables,5.469837486
2644,Africa,2015,Multiple renewables,0.047363107
2645,Africa,2008,Solar energy,0.141297363
2646,Africa,2008,Multiple renewables,0.164847332
2647,Africa,2008,Solar energy,0.1310416
2648,Africa,2014,Multiple renewables,0.024432849
2649,Africa,2009,Bioenergy,0.003527627
2650,Africa,2009,Solar energy,0.088183923
2651,Africa,2009,Solar energy,0.088183923
2652,Africa,2010,Multiple renewables,0.408840694
2653,Africa,2010,Multiple renewables,0.369806281
2654,Africa,2010,Multiple renewables,0.584058134
2655,Africa,2015,Multiple renewables,0.182392347
2656,Africa,2015,Multiple renewables,0.021170531
2657,Africa,2016,Multiple renewables,0.055205721
2658,Africa,2016,Multiple renewables,0.255718715
2659,Africa,2017,Multiple renewables,0.10676668
2660,Africa,2019,Multiple renewables,0.671138
2661,Africa,2019,Multiple renewables,0.513732
2662,Africa,2010,Multiple renewables,1.741630915
2663,Africa,2005,Wind energy,0.020653105
2664,Africa,2014,Multiple renewables,7.13055127
2665,Africa,2001,Solar energy,2.661884956
2666,Africa,2016,Wind energy,0.543168902
2667,Africa,2015,Oil,30.05434857
2668,Africa,2010,Wind energy,0.034007677
2669,Africa,2017,Multiple renewables,0.000766011
2670,Africa,2008,Fossil fuels n.e.s.,40.59269835
2671,Africa,2012,Fossil fuels n.e.s.,38.91746584
2786,Africa,2004,Multiple renewables,0.019924323
2787,Africa,2017,Solar energy,0.006864195
2788,Africa,2018,Solar energy,0.009065625
2789,Africa,2001,Oil,42.60192368
2790,Africa,2001,Oil,52.44443663
2791,Africa,2006,Renewable hydropower,7.67743528
2792,Africa,2010,Renewable hydropower,53.28038289
2793,Africa,2012,Renewable hydropower,419.7526712
2794,Africa,2017,Renewable hydropower,145.5769799
2795,Africa,2016,Renewable hydropower,0.011499485
2796,Africa,2018,Renewable hydropower,0.164310369
2797,Africa,2019,Renewable hydropower,0.082391
2798,Africa,2013,Multiple renewables,0.016264373
2799,Africa,2018,Multiple renewables,0.250844919
2800,Africa,2019,Multiple renewables,0.391806
2801,Africa,2002,Solar energy,0.011474344
2802,Africa,2018,Solar energy,0.010054969
2803,Africa,2017,Solar energy,0.001013113
2804,Africa,2017,Solar energy,0.00911403
2805,Africa,2003,Solar energy,0.007000555
2806,Africa,2018,Renewable hydropower,68.51478606
2807,Africa,2015,Bioenergy,0.034808811
2808,Africa,2019,Renewable hydropower,5.60238
2809,Africa,2008,Multiple renewables,0.33885182
2810,Africa,2010,Multiple renewables,0.479706217
2811,Africa,2010,Solar energy,0.196102744
2812,Africa,2011,Nuclear,0.02343422
2813,Africa,2012,Multiple renewables,0.132119055
2814,Africa,2014,Multiple renewables,1.935642931
2815,Africa,2016,Wind energy,0.051627018
2816,Africa,2012,Renewable hydropower,65.00416014
2817,Africa,2015,Nuclear,0.368386458
2818,Africa,2010,Nuclear,0.457677141
2819,Africa,2018,Renewable hydropower,57.88875615
2820,Africa,2011,Natural gas,78.65623395
2821,Africa,2010,Oil,30.10141621
2822,Africa,2009,Fossil fuels n.e.s.,0.026309882
2823,Africa,2019,Solar energy,0.691747
2824,Africa,2014,Solar energy,0.912532076
2825,Africa,2018,Renewable hydropower,122.351616
2826,Africa,2014,Renewable hydropower,7.46733101
2827,Africa,2016,Solar energy,33.15330001
2828,Africa,2018,Renewable hydropower,228.735774
2829,Africa,2016,Solar energy,44.20440001
2830,Africa,2015,Solar energy,0.010917326
2831,Africa,2014,Solar energy,0.912532076
2832,Africa,2020,Solar energy,0.544736069
2833,Africa,2012,Multiple renewables,0.0566828
2834,Africa,2012,Multiple renewables,1.88942667
2835,Africa,2009,Bioenergy,0.017947686
2836,Africa,2018,Renewable hydropower,2.514062437
2837,Africa,2014,Fossil fuels n.e.s.,35.80075927
2838,Africa,2015,Multiple renewables,1.890082647
2839,Africa,2018,Multiple renewables,11.3823863
2840,Africa,2020,Multiple renewables,2.753849593
2841,Africa,2019,Multiple renewables,0.591067
2842,Africa,2013,Fossil fuels n.e.s.,0.052772299
2843,Africa,2018,Renewable hydropower,101.9856455
2844,Africa,2016,Renewable hydropower,0.033843601
2845,Africa,2012,Renewable hydropower,71.10053389
2846,Africa,2012,Renewable hydropower,71.10053389
2847,Africa,2014,Fossil fuels n.e.s.,9.376330634
2848,Africa,2011,Bioenergy,0.042117278
2849,Africa,2012,Solar energy,0.143260334
2850,Africa,2012,Bioenergy,0.641459264
2851,Africa,2015,Solar energy,0.123602391
2852,Africa,2018,Solar energy,0.192774157
2853,Africa,2017,Renewable hydropower,7.477027295
2854,Africa,2009,Nuclear,0.000898085
2855,Africa,2009,Solar energy,0.000881485
2856,Africa,2009,Multiple renewables,0.132940691
2857,Africa,2008,Multiple renewables,0.015148585
2858,Africa,2008,Multiple renewables,0.131997122
2859,Africa,2006,Fossil fuels n.e.s.,3.40658342
2860,Africa,2006,Multiple renewables,3.40658342
2861,Africa,2008,Fossil fuels n.e.s.,38.51469263
2862,Africa,2011,Natural gas,65.10372791
2863,Africa,2012,Renewable hydropower,94.77364177
2864,Africa,2017,Renewable hydropower,8.121741655
2865,Africa,2017,Renewable hydropower,9.926573134
2866,Africa,2018,Renewable hydropower,294.2948587
2867,Africa,2018,Solar energy,29.42948587
2868,Africa,2018,Renewable hydropower,13.24326864
2869,Africa,2020,Solar energy,34.47715348
2870,Africa,2018,Renewable hydropower,3.707972283
2873,Africa,2014,Multiple renewables,0.00467631
2874,Africa,2011,Renewable hydropower,32.84737752
2875,Africa,2017,Multiple renewables,0.000160807
2876,Africa,2017,Multiple renewables,0.02936116
2877,Africa,2006,Solar energy,0.003646659
2878,Africa,2018,Multiple renewables,0.000154014
2879,Africa,2016,Multiple renewables,0.000163635
2880,Africa,2020,Solar energy,5.931785065
2881,Africa,2015,Renewable hydropower,0.384498274
2882,Africa,2015,Renewable hydropower,0.288373706
2883,Africa,2000,Fossil fuels n.e.s.,0.331652088
2884,Africa,2009,Renewable hydropower,4.191063922
2885,Africa,2018,Solar energy,2.746752015
2886,Africa,2018,Renewable hydropower,0.980982862
2887,Africa,2019,Solar energy,50.05
2888,Africa,2015,Multiple renewables,0.019145354
2889,Africa,2015,Multiple renewables,0.001353103
2890,Africa,2017,Multiple renewables,0.003432098
2891,Africa,2019,Solar energy,0.004478
2892,Africa,2014,Solar energy,0.010809175
2893,Africa,2001,Oil,29.70382414
2894,Africa,2001,Oil,0.117522435
2895,Africa,2001,Oil,7.345158746
2896,Africa,2007,Oil,528.253381
2897,Africa,2013,Multiple renewables,0.005854193
2898,Africa,2014,Multiple renewables,0.005633268
2899,Africa,2016,Solar energy,7.972915789
2900,Africa,2016,Solar energy,12.50713949
2901,Africa,2011,Bioenergy,0.000341345
2902,Africa,2017,Solar energy,0.002562432
2903,Africa,2016,Solar energy,8.338092995
2904,Africa,2020,Solar energy,0.028951029
2905,Africa,2019,Solar energy,10.0
2906,Africa,2016,Solar energy,12.50713949
2907,Africa,2013,Multiple renewables,0.0275139
2908,Africa,2001,Solar energy,5.876126669
2909,Africa,2019,Solar energy,10.0
2910,Africa,2007,Renewable hydropower,25.85853992
2911,Africa,2002,Fossil fuels n.e.s.,25.77890184
2912,Africa,2020,Solar energy,10.5184536
3656,Africa,2016,Multiple renewables,0.014819893
3657,Africa,2017,Multiple renewables,0.029635221
3658,Africa,2012,Solar energy,0.023700232
3659,Africa,2019,Multiple renewables,0.692076
3660,Africa,2019,Solar energy,0.692076
3661,Africa,2020,Multiple renewables,0.048474488
3662,Africa,2020,Solar energy,0.048474488
3663,Africa,2017,Renewable hydropower,11.15408592
3664,Africa,2019,Solar energy,7.65
3665,Africa,2019,Solar energy,7.65
3666,Africa,2012,Geothermal energy,0.003070108
3667,Africa,2013,Geothermal energy,0.019815079
3668,Africa,2014,Geothermal energy,0.124927021
3669,Africa,2015,Geothermal energy,0.974709817
3670,Africa,2018,Solar energy,0.138804647
3671,Africa,2012,Multiple renewables,0.283414001
3672,Africa,2020,Solar energy,8.18101947
3673,Africa,2020,Solar energy,8.18101947
3674,Africa,2000,Multiple renewables,0.153924628
3675,Africa,2018,Solar energy,0.017791361
3676,Africa,2004,Fossil fuels n.e.s.,14.77205633
3677,Africa,2003,Renewable hydropower,515.9102281
3678,Africa,2012,Renewable hydropower,114.8576961
3679,Africa,2020,Multiple renewables,0.042019274
3680,Africa,2020,Multiple renewables,0.256438925
3681,Africa,2018,Solar energy,0.015537925
3682,Africa,2016,Solar energy,0.086045375
3683,Africa,2019,Multiple renewables,0.088436
3684,Africa,2015,Nuclear,0.386289923
3685,Africa,2010,Nuclear,0.042120968
3686,Africa,2013,Renewable hydropower,1.822075873
3687,Africa,2013,Renewable hydropower,0.060919151
3688,Africa,2014,Multiple renewables,0.0044916
3689,Africa,2009,Nuclear,0.00241065
3690,Africa,2018,Multiple renewables,0.980982862
3691,Africa,2018,Multiple renewables,19.61965725
3784,Africa,2015,Multiple renewables,0.007654572
3785,Africa,2015,Multiple renewables,0.000675994
3786,Africa,2016,Multiple renewables,0.007897607
3787,Africa,2013,Multiple renewables,0.004703773
3788,Africa,2020,Renewable hydropower,289.2590244
3789,Africa,2013,Renewable hydropower,484.3054396
3790,Africa,2016,Solar energy,0.069803147
3791,Africa,2016,Renewable hydropower,28.81404489
3792,Africa,2019,Natural gas,44.77779
3793,Africa,2020,Fossil fuels n.e.s.,42.15616417
3794,Africa,2010,Fossil fuels n.e.s.,24.43416361
3795,Africa,2018,Multiple renewables,30.88770474
3796,Africa,2019,Multiple renewables,11.194448
3797,Africa,2015,Nuclear,0.079742043
3798,Africa,2010,Nuclear,0.840246732
3799,Africa,2012,Natural gas,118.0891669
3800,Africa,2014,Natural gas,2.199565279
3801,Africa,2013,Natural gas,124.2141488
3802,Africa,2011,Solar energy,0.006412982
3803,Africa,2019,Natural gas,52.3618
3804,Africa,2016,Solar energy,5.3158824
3805,Africa,2010,Multiple renewables,0.895304081
3806,Africa,2015,Renewable hydropower,0.812131248
3807,Africa,2020,Natural gas,2.470487823
3808,Africa,2019,Natural gas,2.253913715
3809,Africa,2019,Solar energy,0.610265446
3810,Africa,2000,Renewable hydropower,0.026012215
3811,Africa,2012,Solar energy,0.262978806
3812,Africa,2020,Bioenergy,8.968859018
3813,Africa,2020,Natural gas,97.81840455
3814,Africa,2000,Renewable hydropower,13.62643146
3815,Africa,2019,Solar energy,9.764247143
3816,Africa,2017,Renewable hydropower,27.4552043
3817,Africa,2019,Solar energy,0.796274355
3818,Africa,2019,Solar energy,1.913760543
3819,Africa,2016,Bioenergy,0.701486242
3820,Africa,2018,Bioenergy,0.008239938
3821,Africa,2019,Multiple renewables,0.384742
3822,Africa,2017,Solar energy,0.170339692
3823,Africa,2009,Nuclear,0.118169112
3824,Africa,2012,Fossil fuels n.e.s.,23.61783338
3825,Africa,2011,Multiple renewables,15.23272136
3826,Africa,2020,Solar energy,7.012302403
3827,Africa,2020,Solar energy,16.36203894
3828,Africa,2019,Natural gas,45.897235
4005,Africa,2020,Multiple renewables,0.007643015
4006,Africa,2019,Multiple renewables,0.006493
4007,Africa,2011,Renewable hydropower,722.6423055
4008,Africa,2009,Solar energy,0.011429297
4009,Africa,2011,Renewable hydropower,394.1685303
